rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"1","images_categories","dropshipping-high-tech","High-tech","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-high-tech.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260610\categories\01-high-tech-dropshipping-high-tech\dropshipping-high-tech.webp"
"2","produits_partenaires","prod_partner_cable_organizer_001","Organisateur de câbles et accessoires tech","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260610"
"3","images_categories","dropshipping-accessoires","Accessoires","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-accessoires.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260610\categories\02-accessoires-dropshipping-accessoires\dropshipping-accessoires.webp"
"4","produits_partenaires","prod_partner_thermal_printer_001","Mini imprimante thermique Bluetooth","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260610"
"5","images_categories","dropshipping-auto-moto","Auto / Moto","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-auto-moto.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260610\categories\03-auto-moto-dropshipping-auto-moto\dropshipping-auto-moto.webp"
"6","produits_partenaires","prod_partner_galaxy_projector_001","Projecteur galaxie LED pour ambiance","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260610"
"7","images_categories","dropshipping-maison","Maison","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-maison.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260610\categories\04-maison-dropshipping-maison\dropshipping-maison.webp"
"8","produits_partenaires","prod_partner_car_vacuum_001","Mini aspirateur voiture sans fil","HOLD_MISSING_EVIDENCE","Decider garder, remplacer, retirer ou plus tard avant toute preuve fournisseur.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","decision | exactSupplierProductUrl si garder | supplierSku si garder | checkedAt | supplierSellerName | exactVariantChosen | deliveryFranceEuropeProof | deliveryEstimateForCustomer | trackingAvailable | pricingProof | shippingProof | imageProof | imageRightsProof | finalDecision | reviewedByMouss | complianceNotes si remplacer/retirer/plus tard","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260610"
"9","images_categories","dropshipping-cuisine","Cuisine","HOLD_INTAKE_BLOCKED","deposer ou corriger le WebP exact dans le dossier depot","deposer WebP exact: dropshipping-cuisine.webp","copier dans public/uploads/category-images | modifier src/lib/catalog.ts | publier","MISSING_WEBP_IN_DROP_FOLDER","business-maxi-trouvailles\depots-images-categories\depot-images-categories-20260610\categories\05-cuisine-dropshipping-cuisine\dropshipping-cuisine.webp"
"10","produits_partenaires","ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_MISSING_EVIDENCE","Remplir le formulaire rapide avec vendeur, variante, prix, stock, delai, tracking et preuves image.","remplir preuves, verifier fournisseur, completer decision HOLD","publier | commander fournisseur | payer | envoyer message client","date_verification_absente | nom_vendeur_fournisseur_absent | variante_exacte_absente | delai_client_absent | tracking_non_confirme | preuve_delai_france_europe_absente | preuve_prix_absente | preuve_livraison_absente | preuve_image_exacte_absente | preuve_droits_images_absente | decision_finale_pas_ready_review | revue_mouss_absente","C:\Users\sinek\Desktop\maxi-trouvaille\business-maxi-trouvailles\file-validation-fournisseurs\packs-validation-tous-partenaires\20260609\plan-travail-preuves-20260610\formulaires-preuves-rapides-20260610\A_REMPLIR_TEMPLATE_PREUVES_RAPIDES_20260610.json"
