rank;product_id;product_name;entry_type;label;status;ready_for_human_review;blocker_count;target_path;contract_path
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;proof;Reference produit exacte;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_product_reference.md;
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;proof;Nom vendeur ou partenaire;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/partner_name.md;
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;proof;SKU/reference fournisseur;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/supplier_sku.md;
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;proof;Variante exacte vendue;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_variant.md;
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;proof;Prix fournisseur reel en centimes;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/real_supplier_price_cents.md;
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;webp;main: etagere-douche-angle-adhesive-partenaire-hold-main.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.validation-contract.json
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;webp;detail-1: etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.validation-contract.json
1;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;webp;variant: etagere-douche-angle-adhesive-partenaire-hold-variant.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.validation-contract.json
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;proof;Reference produit exacte;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_product_reference.md;
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;proof;Nom vendeur ou partenaire;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/partner_name.md;
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;proof;SKU/reference fournisseur;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/supplier_sku.md;
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;proof;Variante exacte vendue;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_variant.md;
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;proof;Prix fournisseur reel en centimes;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/real_supplier_price_cents.md;
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;webp;main: boite-a-the-compartiments-bambou-partenaire-hold-main.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-main.validation-contract.json
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;webp;detail-1: boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-detail-1.validation-contract.json
2;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;webp;variant: boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;WEBP_BLOCKED_HOLD;false;3;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/boite-a-the-compartiments-bambou-partenaire-hold-variant.validation-contract.json
3;integration_articles_20260612_organisateur-coffre-voiture-pliable;Organisateur coffre voiture pliable;proof;Reference produit exacte;PROOF_INCOMPLETE_HOLD;false;1;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/organisateur-coffre-voiture-pliable-partenaire-hold/exact_product_reference.md;
