origin,slug,status,categoryId,dropshippingEnabled,routeShielded,publicReadinessBlockers,name
"src/lib/catalog.ts","palette-mystere-destockage","published","palettes-destockage","false","true","dropshipping_disabled","Palette mystère déstockage"
"src/lib/catalog.ts","colis-surprise-10-kg","published","colis-au-poids","false","true","dropshipping_disabled","Colis surprise 10 kg"
"src/lib/catalog.ts","colis-mystere-premium","published","colis-mysteres","false","true","dropshipping_disabled","Colis mystère premium"
"src/lib/catalog.ts","lot-special-marche","published","lots-bonnes-affaires","false","true","dropshipping_disabled","Lot spécial marché"
"src/lib/catalog.ts","pack-revendeur","draft","espace-revendeur","false","false","dropshipping_disabled","Pack revendeur"
"src/lib/catalog.ts","mini-imprimante-thermique-bluetooth","draft","dropshipping-high-tech","true","false","supplier_url_exact_missing; supplier_sku_missing; exact_images_not_verified; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready","Mini imprimante thermique Bluetooth"
"src/lib/catalog.ts","organisateur-cables-voyage-tech","draft","dropshipping-accessoires","true","false","supplier_url_exact_missing; supplier_sku_missing; exact_images_not_verified; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready","Organisateur de câbles et accessoires tech"
"src/lib/catalog.ts","projecteur-galaxie-led-ambiance","draft","dropshipping-maison","true","false","supplier_url_exact_missing; supplier_sku_missing; exact_images_not_verified; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready","Projecteur galaxie LED pour ambiance"
"src/lib/catalog.ts","mini-aspirateur-voiture-sans-fil","draft","dropshipping-auto-moto","true","false","supplier_url_exact_missing; supplier_sku_missing; exact_images_not_verified; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready","Mini aspirateur voiture sans fil"
"src/lib/catalog.ts","pack-decouverte-test","draft","high-tech","false","false","dropshipping_disabled","Pack decouverte test"
"data/quick-products.json","peigne-poils-chat-autonettoyant-pet-hold","draft","dropshipping-animaux","true","false","delivery_estimate_not_ready; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready; internal_sourcing_hold","Peigne poils chat autonettoyant"
"data/quick-products.json","gamelle-macaron-chat-chien-anti-choc","draft","dropshipping-animaux","true","false","delivery_estimate_not_ready; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready; internal_sourcing_hold","Gamelle macaron chat chien anti-choc"
"data/quick-products.json","sac-banane-sport-etanche-randonnee","draft","dropshipping-accessoires","true","false","delivery_estimate_not_ready; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready; internal_sourcing_hold","Sac banane sport étanche randonnée"
"data/quick-products.json","corde-paracorde-camping-randonnee-5-15-30m","draft","dropshipping-accessoires","true","false","delivery_estimate_not_ready; image_rights_not_ready; source_price_not_ready; source_delivery_not_ready; validation_gate_not_ready; internal_sourcing_hold","Corde paracorde camping randonnée 5/15/30 m"
