priority;product_id;product_name;category;supplier_sku;field_key;field_label;current_value;instruction;status
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;checkedAt;Date de verification;;Renseigner la date exacte de controle fournisseur.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;supplierSellerName;Nom vendeur fournisseur;;Copier le nom du vendeur affiche sur la page fournisseur.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;exactVariantChosen;Variante exacte;;"Preciser couleur, format, lot, taille ou option vendue.";HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;deliveryFranceEuropeProof;Preuve delai France/Europe;;Noter la preuve visible du delai France/Europe.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;deliveryEstimateForCustomer;Delai client Maxi;;Renseigner un delai client propre et prudent.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;trackingAvailable;Suivi disponible;;Confirmer oui/non selon l'option fournisseur visible.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;pricingProof;Preuve prix;;"Noter prix produit, frais livraison et devise vus.";HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;shippingProof;Preuve livraison;;"Noter transporteur, frais et zone de livraison.";HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;imageProof;Preuve image exacte;;Confirmer que l'image represente exactement la variante vendue.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;imageRightsProof;Droits image;;"Photo propre, autorisation fournisseur ou maintenir HOLD.";HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;finalDecision;Decision finale;HOLD;Laisser HOLD tant que tout n'est pas pret pour revue humaine.;HOLD_MISSING_EVIDENCE
5;ali_partner_20260527_pochette_cables_voyage_001;Pochette organisateur câbles double couche voyage;dropshipping-accessoires;AE-4000168524713-CABLE-ORGANIZER;reviewedByMouss;Revue Mouss;non;Cocher uniquement apres validation humaine explicite.;HOLD_MISSING_EVIDENCE
6;ali_partner_20260527_support_pc_pliant_001;Support PC portable pliant aluminium ajustable;dropshipping-high-tech;AE-4001153714549-LAPTOP-STAND;checkedAt;Date de verification;;Renseigner la date exacte de controle fournisseur.;HOLD_MISSING_EVIDENCE
