productId,productName,productStatus,imageIndex,role,imageStatus,finalDecision,selectedMode,localFileExists,failures,blockers
"ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_DECISIONS_NOT_READY","1","main","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_DECISIONS_NOT_READY","2","detail","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_DECISIONS_NOT_READY","3","usage","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_pochette_cables_voyage_001","Pochette organisateur câbles double couche voyage","HOLD_DECISIONS_NOT_READY","4","dimensions","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_DECISIONS_NOT_READY","1","main","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_DECISIONS_NOT_READY","2","detail","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_DECISIONS_NOT_READY","3","usage","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_support_pc_pliant_001","Support PC portable pliant aluminium ajustable","HOLD_DECISIONS_NOT_READY","4","dimensions","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","1","main","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","2","detail","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","3","usage","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","4","dimensions","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","5","detail-5","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
"ali_partner_20260527_filet_coffre_voiture_001","Filet rangement coffre voiture à sangles fixes","HOLD_DECISIONS_NOT_READY","6","detail-6","HOLD_DECISION_NOT_READY","HOLD","","false","","decision_image_humaine_absente | fichier_local_absent | preuve_droits_images_absente | variante_exacte_non_confirmee"
