rank;batch_id;product_id;product_name;category_id;entry_type;order;label;status;target_path;contract_path;expected_action
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_product_reference.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/partner_name.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;3;SKU/reference fournisseur;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/supplier_sku.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;4;Variante exacte vendue;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/exact_variant.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;proof;5;Prix fournisseur reel en centimes;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/real_supplier_price_cents.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;webp;1;main: etagere-douche-angle-adhesive-partenaire-hold-main.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-main.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;webp;2;detail-1: etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-detail-1.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
1;lot-01;integration_articles_20260612_etagere-douche-angle-adhesive;Etagere douche angle adhesive;dropshipping-maison;webp;3;variant: etagere-douche-angle-adhesive-partenaire-hold-variant.webp;TO_DEPOSIT_HOLD;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.webp;business-maxi-trouvailles/depots-images-exactes/integration-articles/20260612/etagere-douche-angle-adhesive-partenaire-hold/etagere-douche-angle-adhesive-partenaire-hold-variant.validation-contract.json;Deposer un WebP exact local puis relancer les audits.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;1;Reference produit exacte;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/exact_product_reference.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
2;lot-01;integration_articles_20260612_boite-a-the-compartiments-bambou;Boite a the compartiments bambou;dropshipping-cuisine;proof;2;Nom vendeur ou partenaire;TO_FILL_HOLD;business-maxi-trouvailles/preuves-internes/integration-articles/20260612/boite-a-the-compartiments-bambou-partenaire-hold/partner_name.md;;Remplir la preuve interne avec valeur locale et decision Mouss.
